GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ElevatorManager,net.mooctest,PredictiveSchedulingStrategy,0,55,1,3,0,13,1,4,0,3
ElevatorManager,net.mooctest,MaintenanceManager.MaintenanceRecord,9,12,0,0,3,5,3,1,3,1
ElevatorManager,net.mooctest,Scheduler,50,191,9,13,11,49,7,14,1,9
ElevatorManager,net.mooctest,EventType,0,44,0,0,0,2,0,1,0,1
ElevatorManager,net.mooctest,AnalyticsEngine.Report,0,15,0,0,0,6,0,3,0,3
ElevatorManager,net.mooctest,Priority,0,34,0,0,0,2,0,1,0,1
ElevatorManager,net.mooctest,ThreadPoolManager,24,31,4,2,9,11,3,4,1,3
ElevatorManager,net.mooctest,LogManager.SystemLog,0,21,0,0,0,8,0,4,0,4
ElevatorManager,net.mooctest,LogManager,0,96,3,7,0,20,3,9,0,7
ElevatorManager,net.mooctest,MaintenanceManager,7,120,4,4,4,33,4,8,0,8
ElevatorManager,net.mooctest,RequestType,0,24,0,0,0,2,0,1,0,1
ElevatorManager,net.mooctest,HighEfficiencyStrategy,2,52,3,9,0,10,3,6,0,3
ElevatorManager,net.mooctest,EventBus,0,63,1,7,0,17,1,8,0,5
ElevatorManager,net.mooctest,Floor,0,77,0,0,0,17,0,4,0,4
ElevatorManager,net.mooctest,SecurityMonitor.SecurityEvent,6,15,0,0,2,6,2,2,2,2
ElevatorManager,net.mooctest,ElevatorManager,0,45,2,2,0,13,2,5,0,5
ElevatorManager,net.mooctest,EventBus.Event,0,15,0,0,0,6,0,3,0,3
ElevatorManager,net.mooctest,SecurityMonitor,0,92,3,3,0,22,3,4,0,4
ElevatorManager,net.mooctest,AnalyticsEngine,0,69,2,4,0,18,2,7,0,6
ElevatorManager,net.mooctest,ElevatorStatus,0,64,0,0,0,2,0,1,0,1
ElevatorManager,net.mooctest,NotificationService.Notification,3,18,0,0,1,7,1,3,1,3
ElevatorManager,net.mooctest,MaintenanceManager.MaintenanceTask,6,15,0,0,2,6,2,2,2,2
ElevatorManager,net.mooctest,Event,0,15,0,0,0,6,0,3,0,3
ElevatorManager,net.mooctest,PassengerRequest,9,73,0,2,3,15,3,7,3,6
ElevatorManager,net.mooctest,EnergySavingStrategy,29,19,8,2,7,4,5,2,0,2
ElevatorManager,net.mooctest,NotificationService.EmailChannel,19,3,0,0,3,1,2,1,2,1
ElevatorManager,net.mooctest,SpecialNeeds,0,44,0,0,0,2,0,1,0,1
ElevatorManager,net.mooctest,Elevator,63,378,8,22,23,99,14,35,9,25
ElevatorManager,net.mooctest,NearestElevatorStrategy,0,56,2,10,0,14,2,7,0,3
ElevatorManager,net.mooctest,SystemConfig,0,58,1,9,0,23,1,12,0,8
ElevatorManager,net.mooctest,NotificationService.NotificationType,0,44,0,0,0,2,0,1,0,1
ElevatorManager,net.mooctest,ElevatorStatusReport,66,24,0,0,9,9,8,1,8,1
ElevatorManager,net.mooctest,NotificationService,0,60,1,7,0,16,1,6,0,3
ElevatorManager,net.mooctest,Direction,0,24,0,0,0,2,0,1,0,1
ElevatorManager,net.mooctest,ElevatorMode,0,34,0,0,0,2,0,1,0,1
ElevatorManager,net.mooctest,NotificationService.SMSChannel,27,3,4,0,3,1,4,1,2,1
